University,Country,rank,inv_rank
Boston University,Massachusetts,7547,25.32930749347876
New York University,New York,7445,15.952791516033336
Stanford University,California,6479,15.136371539538121
Southern New Hampshire University,New Hampshire,2788,14.145091786132696
Columbia University,New York,4861,14.031654014831096
Arizona State University,Arizona,9988,11.856198091685382
Pennsylvania State University,Pennsylvania,7932,11.231196698470914
"University of California, Berkeley",California,4613,11.149066515517518
Harvard University,Massachusetts,5493,10.437586784089712
George Mason University,Virginia,6460,10.430588691790634
Johns Hopkins University,Maryland,4912,9.846682945205352
University of Pittsburgh,Pennsylvania,5403,9.739661148790976
University of Cambridge,United Kingdom,4803,9.23778806487009
University of Washington,Washington,6607,9.212311711855579
Capella University,Minnesota,2700,8.842707156359426
University of Florida,Florida,6799,8.307842181665379
University of Maryland University College,Maryland,3139,8.02019724160645
University of Phoenix,Arizona,3025,7.681887761397838
Carnegie Mellon University,Pennsylvania,2791,7.510922940089295
American University,District of Columbia,2758,7.412244108062002
University of Pennsylvania,Pennsylvania,6092,7.357201251257642
Yale University,Connecticut,5391,6.86210367974782
University of Colorado at Boulder,Colorado,4799,6.808473466043962
"University of California, Los Angeles",California,5233,6.741235780611193
University of Chicago,Illinois,4703,6.608507962725937
"Rutgers, The State University of New Jersey",New Jersey,8044,6.533163892021186
University of Maryland at College Park,Maryland,4943,6.318891291485057
University of Arizona,Arizona,6898,6.269491356491471
City University of New York (CUNY) System,New York,7461,6.152764411254694
University of Houston,Texas,7152,6.021642846788045
Georgetown University,District of Columbia,2879,5.999048941049367
Cornell University,New York,4964,5.9312640901230775
University of Denver,Colorado,3360,5.920963843698065
"University College London, University of London",United Kingdom,5478,5.912582497910776
George Washington University,District of Columbia,3317,5.880936041859238
University of Texas at Austin,Texas,5160,5.6514683866689195
American Public University,Virginia,2914,5.536626728671046
University of North Carolina at Chapel Hill,North Carolina,4533,5.530190574294102
Michigan State University,Michigan,8746,5.433215948570693
Duke University,North Carolina,5190,5.38226746399634
University of Michigan - Ann Arbor,Michigan,6968,5.279282315855647
Ashford University ,California,1845,5.175571887324421
Open University,United Kingdom,2513,5.1605065432931685
Brown University,Rhode Island,3202,5.115577203308962
Drexel University,Pennsylvania,6066,5.103245947953177
Western Governors University,Utah,1874,4.993269999470676
University of Oregon,Oregon,4809,4.980163257332576
University of Edinburgh,United Kingdom,5083,4.907294610222316
University of South Florida,Florida,7845,4.788517744294534
University of Illinois at Chicago,Illinois,6297,4.774164880323315
Massachusetts Institute of Technology,Massachusetts,4045,4.4107351331668125
Portland State University,Oregon,4176,4.301498480818856
University of Surrey,United Kingdom,1576,4.197724419854535
University of Utah,Utah,5374,4.029718161060068
University of Iowa,Iowa,4639,4.028679695369116
"Rasmussen College, Florida Campuses",Florida,1873,3.976526950665976
University of Oxford,United Kingdom,5274,3.976480447118258
University of Virginia,Virginia,3872,3.970271082560776
Georgia Institute of Technology,Georgia,3154,3.949664130853125
University of Georgia,Georgia,4288,3.947282614985961
University of Colorado at Denver,Colorado,5738,3.88871693343333
Colorado Technical University,Colorado,2109,3.717424287036747
University of Nevada - Reno,Nevada,4948,3.6948770415607486
Walden University,Minnesota,2776,3.68336865842113
Northern Arizona University,Arizona,3749,3.5261070069344145
Princeton University,New Jersey,2859,3.4978040488499262
Purdue University,Indiana,3958,3.4846776330203983
University of Southern California,California,5986,3.4329312179441227
University of Wisconsin - Madison,Wisconsin,5417,3.415092701228473
Virginia Commonwealth University,Virginia,3559,3.3836106645546598
Vanderbilt University,Tennessee,2860,3.374209306380502
Colorado State University,Colorado,3659,3.3149873544798307
Florida State University,Florida,7194,3.28884623004745
University of Central Florida,Florida,5310,3.2886709322247323
University of Rochester,New York,2458,3.256001095731577
University of Derby,United Kingdom,1035,3.239599224244415
University of Nebraska - Lincoln,Nebraska,2801,3.17365788770156
University Of Hawaii - System,Hawaii,6240,3.0998973878376876
Indiana University (System),Indiana,4384,3.031845164386391
University of Massachusetts at Amherst,Massachusetts,5382,3.0239005331262194
University of Missouri - Columbia,Missouri,5996,2.93707918476014
University of Nottingham,United Kingdom,2709,2.929385146624456
University of Maryland at Baltimore,Maryland,2428,2.87611443420268
